index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
46,onnx.save,176.35,184.245,7.895,21122.984,19586.98,-1536.004,19586.98,20993.796,21122.984,177.329,47744.176,0.946,1.027,9.411,5932.371,53
47,post: onnx.save,184.245,184.683,0.438,13589.082,13589.082,0.0,13589.082,13589.082,13589.082,184.682,40210.148,0.821,0.821,0.0,0.0,1
48,onnx.load,184.683,184.683,0.001,13589.082,13589.082,0.0,13589.082,13589.082,13589.082,184.683,40210.148,0.574,0.574,0.0,0.0,1
49,post: onnx.load,184.683,185.597,0.914,13003.562,8253.188,-4750.375,8253.188,10431.404,13003.562,184.741,39712.109,0.952,1.027,0.845,0.0,5
50,onnx.load,185.597,185.598,0.001,8253.188,8253.188,0.0,8253.188,8253.188,8253.188,185.597,34848.086,0.641,0.641,0.0,0.0,1
51,post: onnx.load,185.598,185.598,0.0,8253.188,8253.188,0.0,8253.188,8253.188,8253.188,185.598,34848.086,0.448,0.448,0.0,0.0,1
52,onnx.load,185.598,185.598,0.0,8253.188,8253.188,0.0,8253.188,8253.188,8253.188,185.598,34848.086,0.314,0.314,0.0,0.0,1
53,post: onnx.load,185.598,185.638,0.04,8254.281,8254.281,0.0,8254.281,8254.281,8254.281,185.638,34849.086,0.397,0.397,0.0,0.0,1
54,onnx.save,185.638,185.641,0.003,8254.281,8254.281,0.0,8254.281,8254.281,8254.281,185.641,34849.086,1.094,1.094,0.0,0.0,1
55,post: onnx.save,185.641,185.641,0.0,8254.281,8254.281,0.0,8254.281,8254.281,8254.281,185.641,34849.086,0.765,0.765,0.0,0.0,1
56,onnx.load,185.641,185.641,0.0,8254.285,8254.285,0.0,8254.285,8254.285,8254.285,185.641,34849.086,0.536,0.536,0.0,0.0,1
57,post: onnx.load,185.641,185.642,0.0,8254.285,8254.285,0.0,8254.285,8254.285,8254.285,185.642,34849.086,0.375,0.375,0.0,0.0,1
58,onnx.load,185.642,185.642,0.0,8254.285,8254.285,0.0,8254.285,8254.285,8254.285,185.642,34849.086,0.263,0.263,0.0,0.0,1
59,post: onnx.load,185.642,185.642,0.0,8254.285,8254.285,0.0,8254.285,8254.285,8254.285,185.642,34849.086,0.184,0.184,0.0,0.0,1
60,onnx.load,185.642,185.643,0.0,8254.285,8254.285,0.0,8254.285,8254.285,8254.285,185.642,34849.086,0.129,0.129,0.0,0.0,1
61,post: onnx.load,185.643,185.676,0.033,8256.664,8256.664,0.0,8256.664,8256.664,8256.664,185.676,34851.086,0.302,0.302,0.0,0.0,1
62,onnx.save,185.676,185.679,0.003,8256.664,8256.664,0.0,8256.664,8256.664,8256.664,185.679,34851.086,0.212,0.212,0.0,0.0,1
63,post: onnx.save,185.679,185.679,0.0,8256.668,8256.668,0.0,8256.668,8256.668,8256.668,185.679,34851.086,0.148,0.148,0.0,0.0,1
64,onnx.load,185.679,185.679,0.0,8256.672,8256.672,0.0,8256.672,8256.672,8256.672,185.679,34851.086,0.104,0.104,0.0,0.0,1
65,post: onnx.load,185.679,185.682,0.002,8256.691,8256.699,0.008,8256.691,8256.695,8256.699,185.681,34851.086,1.356,1.595,0.0,0.0,2
66,onnx.load,185.682,185.682,0.0,8256.699,8256.699,0.0,8256.699,8256.699,8256.699,185.681,34851.086,1.117,1.117,0.0,0.0,1
