index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
32,vision: onnx.load,30.313,31.028,0.715,15448.348,15287.207,-161.141,15287.207,15830.032,16355.781,30.86,43253.133,0.801,0.94,1100.481,0.0,9
33,vision: post: onnx.load,31.028,31.028,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,31.028,42153.621,0.603,0.603,0.0,0.0,1
34,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",31.028,31.032,0.004,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,31.032,42153.621,0.422,0.422,0.0,0.0,1
35,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",31.032,31.032,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,31.032,42153.621,0.296,0.296,0.0,0.0,1
36,vision: onnx.save,31.032,35.1,4.067,16386.719,15287.207,-1099.512,15287.207,16276.768,16386.719,34.384,43253.133,0.816,1.018,1.618,1099.508,10
37,vision: post: onnx.save,35.1,46.045,10.945,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,35.164,42153.621,0.25,0.945,24.932,0.003,153
38,vision: post: vision export,46.045,46.045,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,46.045,42153.621,0.563,0.563,0.0,0.0,1
39,vision: post: dual-qpc export orchestration,46.045,46.046,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,46.045,42153.621,0.394,0.394,0.0,0.0,1
40,vision: vision compile wrapper,46.046,46.046,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,46.046,42153.621,0.276,0.276,0.0,0.0,1
41,vision: onnx.load,46.046,46.774,0.728,15420.188,15287.207,-132.98,15287.207,15824.658,16373.426,46.619,43253.133,0.86,0.966,1100.803,0.0,9
42,vision: post: onnx.load,46.774,46.775,0.001,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,46.774,42153.621,0.644,0.644,0.0,0.0,1
43,vision: subprocess.run: qaic-compile,46.775,63.147,16.373,15403.395,15287.207,-116.188,15287.207,15551.952,16431.332,47.713,54010.129,0.891,3.359,1026.428,2218.166,317
44,vision: post: subprocess.run: qaic-compile,63.147,63.148,0.001,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.148,42153.621,0.517,0.517,0.0,0.0,1
45,vision: post: vision compile wrapper,63.148,63.148,0.0,15287.234,15287.234,0.0,15287.234,15287.234,15287.234,63.148,42153.621,0.362,0.362,0.0,0.0,1
