index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
94,decode: post: build output names,322.601,322.601,0.0,61473.402,61473.402,0.0,61473.402,61473.402,61473.402,322.601,88144.703,40.938,40.938,0.0,0.0,1
95,decode: language export,322.601,322.61,0.009,61473.41,61473.41,0.0,61473.41,61473.41,61473.41,322.609,88144.703,36.783,36.783,0.0,0.0,1
96,decode: torch.onnx.export,322.61,426.99,104.38,61473.418,61487.637,14.219,61473.418,76752.907,92242.176,324.366,118940.586,14.654,48.533,11.546,57926.231,63
97,decode: post: torch.onnx.export,426.99,426.998,0.008,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,426.99,88158.559,1.125,1.125,0.0,0.0,1
98,decode: language offload pytorch weights,426.998,427.007,0.009,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,426.998,88158.559,0.787,0.787,0.0,0.0,1
99,decode: post: language offload pytorch weights,427.007,427.011,0.004,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.01,88158.559,0.783,0.783,0.0,0.0,1
100,decode: onnx.load,427.011,427.017,0.006,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.017,88158.559,0.548,0.548,0.0,0.0,1
101,decode: post: onnx.load,427.017,427.017,0.0,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.017,88158.559,0.384,0.384,0.0,0.0,1
102,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",427.017,427.024,0.007,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.024,88158.559,0.605,0.605,0.0,0.0,1
103,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",427.024,427.024,0.0,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.024,88158.559,0.423,0.423,0.0,0.0,1
104,decode: onnx.save,427.024,427.078,0.054,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.078,88158.559,0.558,0.558,0.0,0.0,1
105,decode: post: onnx.save,427.078,427.401,0.323,61487.637,61487.637,0.0,61487.637,61487.637,61487.637,427.401,88158.559,0.63,0.63,0.0,0.0,1
106,decode: post: language export,427.401,427.412,0.011,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.412,88051.051,0.86,0.86,0.0,0.0,1
107,decode: post: dual-qpc export orchestration,427.412,427.413,0.0,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.413,88051.051,0.602,0.602,0.0,0.0,1
108,decode: onnx.load,427.413,427.415,0.002,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.415,88051.051,1.383,1.383,0.0,0.0,1
109,decode: post: onnx.load,427.415,427.416,0.0,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.415,88051.051,0.968,0.968,0.0,0.0,1
110,decode: language compile wrapper,427.416,427.416,0.0,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.416,88051.051,0.678,0.678,0.0,0.0,1
111,decode: onnx.load,427.416,427.418,0.002,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.418,88051.051,0.474,0.474,0.0,0.0,1
112,decode: post: onnx.load,427.418,427.419,0.001,61380.129,61380.129,0.0,61380.129,61380.129,61380.129,427.419,88051.051,0.332,0.332,0.0,0.0,1
113,decode: subprocess.run: qaic-compile,427.419,722.145,294.726,61380.129,61380.809,0.68,61380.129,66584.902,78175.812,461.09,131218.371,1.076,4.67,29.652,22102.589,5720
114,decode: post: subprocess.run: qaic-compile,722.145,722.146,0.002,61380.809,61380.809,0.0,61380.809,61380.809,61380.809,722.146,88052.051,0.39,0.39,0.0,0.0,1
115,decode: post: language compile wrapper,722.146,722.147,0.0,61380.809,61380.809,0.0,61380.809,61380.809,61380.809,722.146,88052.051,0.273,0.273,0.0,0.0,1
116,decode: post: compile request,722.147,722.152,0.005,61380.809,61380.809,0.0,61380.809,61380.809,61380.809,722.146,88052.051,0.273,0.273,0.0,0.0,1
117,Completion,722.152,722.146,-0.006,61380.809,61380.809,0.0,61380.809,61380.809,61380.809,722.146,88052.051,0.273,0.273,0.0,0.0,1
