index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
20,vision: post: build dummy inputs,13.744,13.744,0.0,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.744,88165.363,9.086,9.086,0.0,0.0,1
21,vision: build dynamic axes,13.744,13.744,0.0,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.744,88165.363,6.36,6.36,0.0,0.0,1
22,vision: post: build dynamic axes,13.744,13.744,0.0,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.744,88165.363,4.452,4.452,0.0,0.0,1
23,vision: build output names,13.744,13.744,0.0,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.744,88165.363,3.117,3.117,0.0,0.0,1
24,vision: post: build output names,13.744,13.744,0.0,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.744,88165.363,2.182,2.182,0.0,0.0,1
25,vision: vision export,13.744,13.762,0.018,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.751,88165.363,9.674,11.381,0.001,0.0,2
26,vision: torch.onnx.export,13.762,142.966,129.204,61440.168,61341.57,-98.598,61341.57,184049.625,291895.289,112.167,318762.469,17.267,48.305,287.288,1739.668,1596
27,vision: post: torch.onnx.export,142.966,142.966,0.0,61341.57,61341.57,0.0,61341.57,61341.57,61341.57,142.966,88149.863,0.679,0.679,0.0,0.0,1
28,vision: vision offload pytorch weights,142.966,142.966,0.0,61341.57,61341.57,0.0,61341.57,61341.57,61341.57,142.966,88149.863,0.475,0.475,0.0,0.0,1
29,vision: post: vision offload pytorch weights,142.966,142.966,0.0,61341.57,61341.57,0.0,61341.57,61341.57,61341.57,142.966,88149.863,0.333,0.333,0.0,0.0,1
30,vision: onnx.load,142.966,145.05,2.084,61419.512,62993.027,1573.516,61419.512,62251.627,62993.027,145.049,89889.531,0.874,0.992,1741.71,0.0,14
31,vision: post: onnx.load,145.05,145.05,0.0,62993.027,62993.027,0.0,62993.027,62993.027,62993.027,145.05,89801.445,0.616,0.616,0.0,0.0,1
32,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",145.05,145.055,0.005,62993.027,62993.027,0.0,62993.027,62993.027,62993.027,145.055,89801.445,0.929,0.929,0.0,0.0,1
33,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",145.055,145.055,0.0,62993.027,62993.027,0.0,62993.027,62993.027,62993.027,145.055,89801.445,8.297,8.297,0.0,0.0,1
34,vision: onnx.save,145.055,150.269,5.214,64732.695,62993.027,-1739.668,62993.027,64630.362,64732.695,148.999,91541.113,1.967,6.046,2.594,1739.667,17
35,vision: post: onnx.save,150.269,155.194,4.925,62993.027,61341.574,-1651.453,61341.574,62966.817,62993.031,150.851,89801.445,0.419,0.896,10.355,0.004,63
