index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
76,decode: language compile wrapper,79.332,79.332,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.332,42046.008,0.232,0.232,0.0,0.0,1
77,decode: onnx.load,79.332,79.332,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.332,42046.008,0.162,0.162,0.0,0.0,1
78,decode: post: onnx.load,79.332,79.333,0.001,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,79.332,42046.008,0.114,0.114,0.0,0.0,1
79,decode: subprocess.run: qaic-compile,79.333,128.078,48.745,15297.059,15247.383,-49.676,15247.383,16572.88,18540.758,96.78,62383.363,0.816,2.526,5.515,5399.613,477
80,decode: post: subprocess.run: qaic-compile,128.078,128.079,0.001,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.462,0.462,0.0,0.0,1
81,decode: post: language compile wrapper,128.079,128.079,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.324,0.324,0.0,0.0,1
82,decode: post: compile request,128.079,128.079,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.226,0.226,0.0,0.0,1
83,prefill: compile request,128.079,128.079,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.159,0.159,0.0,0.0,1
84,prefill: build output names,128.079,128.079,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.111,0.111,0.0,0.0,1
85,prefill: post: build output names,128.079,128.079,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.078,0.078,0.0,0.0,1
86,prefill: vision pytorch transform,128.079,128.08,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.079,42046.008,0.054,0.054,0.0,0.0,1
87,prefill: post: vision pytorch transform,128.08,128.08,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.08,42046.008,0.038,0.038,0.0,0.0,1
88,prefill: language pytorch transform,128.08,128.08,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.08,42046.008,0.027,0.027,0.0,0.0,1
89,prefill: post: language pytorch transform,128.08,128.08,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.08,42046.008,0.019,0.019,0.0,0.0,1
90,prefill: dual-qpc export orchestration,128.08,128.08,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.08,42046.008,0.013,0.013,0.0,0.0,1
91,prefill: build dummy inputs,128.08,128.082,0.002,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.082,42046.008,12.486,12.486,0.0,0.0,1
92,prefill: post: build dummy inputs,128.082,128.082,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.082,42046.008,8.74,8.74,0.0,0.0,1
93,prefill: build dynamic axes,128.082,128.083,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.082,42046.008,6.118,6.118,0.0,0.0,1
94,prefill: post: build dynamic axes,128.083,128.083,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.083,42046.008,4.283,4.283,0.0,0.0,1
95,prefill: build output names,128.083,128.083,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.083,42046.008,2.998,2.998,0.0,0.0,1
96,prefill: post: build output names,128.083,128.083,0.0,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.083,42046.008,2.099,2.099,0.0,0.0,1
97,prefill: language export,128.083,128.091,0.008,15247.383,15247.383,0.0,15247.383,15247.383,15247.383,128.091,42046.008,11.515,11.515,0.0,0.0,1
98,prefill: torch.onnx.export,128.091,174.405,46.314,15247.555,23432.43,8184.875,15247.555,16884.53,23432.43,174.4,50231.004,38.423,47.657,1.975,11902.106,10
99,prefill: post: torch.onnx.export,174.405,174.405,0.0,23432.43,23432.43,0.0,23432.43,23432.43,23432.43,174.405,50231.004,21.69,21.69,0.0,0.0,1
100,prefill: language offload pytorch weights,174.405,175.435,1.03,21573.203,13782.375,-7790.828,13782.375,17633.46,21573.203,174.576,49924.973,8.07,15.526,0.66,0.0,6
101,prefill: post: language offload pytorch weights,175.435,175.435,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.435,40580.949,2.346,2.346,0.0,0.0,1
102,prefill: onnx.load,175.435,175.436,0.001,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.436,40580.949,1.642,1.642,0.0,0.0,1
103,prefill: post: onnx.load,175.436,175.436,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.436,40580.949,1.149,1.149,0.0,0.0,1
104,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",175.436,175.441,0.005,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.44,40580.949,1.293,1.293,0.0,0.0,1
105,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",175.441,175.441,0.0,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.441,40580.949,0.905,0.905,0.0,0.0,1
106,prefill: onnx.save,175.441,175.454,0.013,13782.375,13782.375,0.0,13782.375,13782.375,13782.375,175.454,40580.949,0.817,0.817,0.0,0.0,1
