index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
84,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",112.458,112.46,0.003,12456.312,12456.312,0.0,12456.312,12456.312,12456.312,112.46,481155.195,0.618,0.618,0.0,0.0,1
85,prefill: onnx.save,112.46,119.243,6.783,12520.316,12456.312,-64.004,12456.312,13926.925,13992.316,113.77,482691.199,0.935,1.012,7.927,4673.642,46
86,prefill: post: onnx.save,119.243,119.697,0.454,7720.293,7720.293,0.0,7720.293,7720.293,7720.293,119.696,476419.176,0.892,0.892,0.0,0.0,1
87,prefill: onnx.load,119.697,119.698,0.001,7720.293,7720.293,0.0,7720.293,7720.293,7720.293,119.698,476419.176,0.624,0.624,0.0,0.0,1
88,prefill: post: onnx.load,119.698,133.243,13.545,7274.492,8130.539,856.047,2446.914,13580.34,21622.621,131.629,479497.191,2.515,21.818,26.017,0.005,146
89,prefill: torch.onnx.export,133.243,142.143,8.9,8131.551,8177.379,45.828,8131.551,8145.687,8177.379,142.142,476867.176,31.673,43.873,1.768,4783.139,7
90,prefill: post: torch.onnx.export,142.143,142.143,0.0,8177.379,8177.379,0.0,8177.379,8177.379,8177.379,142.143,476867.176,22.131,22.131,0.0,0.0,1
91,prefill: onnx.load,142.143,142.144,0.001,8177.379,8177.379,0.0,8177.379,8177.379,8177.379,142.144,476867.176,15.492,15.492,0.0,0.0,1
92,prefill: post: onnx.load,142.144,142.144,0.0,8177.379,8177.379,0.0,8177.379,8177.379,8177.379,142.144,476867.176,10.844,10.844,0.0,0.0,1
93,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",142.144,151.228,9.083,8201.793,12931.098,4729.305,8201.793,10548.348,12931.098,151.227,481603.195,1.585,7.995,4751.484,0.0,37
94,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",151.228,151.231,0.003,12931.098,12931.098,0.0,12931.098,12931.098,12931.098,151.23,481603.195,1.266,1.266,0.0,0.0,1
95,prefill: onnx.save,151.231,157.899,6.669,12995.102,12931.098,-64.004,12931.098,14366.124,14467.102,152.504,483139.199,0.968,1.207,8.176,4673.642,45
96,prefill: post: onnx.save,157.899,158.336,0.436,8195.078,8195.078,0.0,8195.078,8195.078,8195.078,158.335,476867.176,0.693,0.693,0.0,0.0,1
97,prefill: onnx.load,158.336,158.339,0.003,8195.078,8195.078,0.0,8195.078,8195.078,8195.078,158.338,476867.176,0.485,0.485,0.0,0.0,1
98,prefill: post: onnx.load,158.339,171.257,12.918,7571.645,8468.48,896.836,2898.488,14077.753,22105.863,169.515,479945.195,2.596,22.698,25.36,0.005,140
99,prefill: torch.onnx.export,171.257,180.02,8.763,8468.48,8482.051,13.57,8468.48,8474.336,8482.051,171.794,477187.176,26.382,41.672,1.689,4782.885,7
100,prefill: post: torch.onnx.export,180.02,180.02,0.0,8482.051,8482.051,0.0,8482.051,8482.051,8482.051,180.02,477187.176,21.028,21.028,0.0,0.0,1
101,prefill: onnx.load,180.02,180.021,0.001,8482.051,8482.051,0.0,8482.051,8482.051,8482.051,180.021,477187.176,14.72,14.72,0.0,0.0,1
102,prefill: post: onnx.load,180.021,180.021,0.0,8482.051,8482.051,0.0,8482.051,8482.051,8482.051,180.021,477187.176,10.304,10.304,0.0,0.0,1
103,"prefill: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",180.021,188.611,8.59,8581.086,13218.07,4636.984,8581.086,10919.332,13218.07,188.61,481923.195,1.637,7.604,4678.907,0.0,33
104,"prefill: post: onnx transforms: SplitTensorsTransform,CustomOpTransform,RenameFunctionOutputsTransform",188.611,188.615,0.004,13218.07,13218.07,0.0,13218.07,13218.07,13218.07,188.615,481923.195,0.651,0.651,0.0,0.0,1
105,prefill: onnx.save,188.615,195.039,6.424,13282.074,13218.07,-64.004,13218.07,14650.801,14754.074,189.849,483459.199,0.939,1.05,7.852,4673.388,44
